Profit,Range
1321.75,"2018-01-26 04:45:00"
1591.55,"2018-01-26 05:00:00"
2082.25,"2018-01-26 05:15:00"
2417.65,"2018-01-26 05:30:00"
2775.85,"2018-01-26 05:45:00"
2920.95,"2018-01-26 06:00:00"
3243.55,"2018-01-26 06:15:00"
3521.10,"2018-01-26 06:30:00"
3293.55,"2018-01-26 06:45:00"
3136.50,"2018-01-26 07:00:00"
2944.00,"2018-01-26 07:15:00"
2767.85,"2018-01-26 07:30:00"
2480.80,"2018-01-26 07:45:00"
2214.40,"2018-01-26 08:00:00"
2020.30,"2018-01-26 08:15:00"
1983.25,"2018-01-26 08:30:00"
1943.90,"2018-01-26 08:45:00"
1821.35,"2018-01-26 09:00:00"
1860.45,"2018-01-26 09:15:00"
1792.85,"2018-01-26 09:30:00"
1807.30,"2018-01-26 09:45:00"
1718.25,"2018-01-26 10:00:00"
1728.85,"2018-01-26 10:15:00"
1799.25,"2018-01-26 10:30:00"
1836.50,"2018-01-26 10:45:00"
1817.70,"2018-01-26 11:00:00"
1695.00,"2018-01-26 11:15:00"
1700.45,"2018-01-26 11:30:00"
1665.35,"2018-01-26 11:45:00"
1748.65,"2018-01-26 12:00:00"
1821.05,"2018-01-26 12:15:00"
1748.75,"2018-01-26 12:30:00"
1726.55,"2018-01-26 12:45:00"
1723.90,"2018-01-26 13:00:00"
1728.65,"2018-01-26 13:15:00"
1762.55,"2018-01-26 13:30:00"
1811.90,"2018-01-26 13:45:00"
1726.60,"2018-01-26 14:00:00"
1795.70,"2018-01-26 14:15:00"
1855.20,"2018-01-26 14:30:00"
1853.05,"2018-01-26 14:45:00"
1917.50,"2018-01-26 15:00:00"
2134.30,"2018-01-26 15:15:00"
2544.65,"2018-01-26 15:30:00"
2493.50,"2018-01-26 15:45:00"
2584.60,"2018-01-26 16:00:00"
2695.80,"2018-01-26 16:15:00"
2670.60,"2018-01-26 16:30:00"
2944.25,"2018-01-26 16:45:00"
2874.25,"2018-01-26 17:00:00"
3085.60,"2018-01-26 17:15:00"
2943.10,"2018-01-26 17:30:00"
2857.10,"2018-01-26 17:45:00"
2590.15,"2018-01-26 18:00:00"
2614.55,"2018-01-26 18:15:00"
2644.70,"2018-01-26 18:30:00"
2310.35,"2018-01-26 18:45:00"
2163.70,"2018-01-26 19:00:00"
2069.30,"2018-01-26 19:15:00"
1835.25,"2018-01-26 19:30:00"
1696.00,"2018-01-26 19:45:00"
1524.80,"2018-01-26 20:00:00"
1486.00,"2018-01-26 20:15:00"
1425.70,"2018-01-26 20:30:00"
1217.15,"2018-01-26 20:45:00"
989.50,"2018-01-26 21:00:00"
1180.30,"2018-01-26 21:15:00"
1046.55,"2018-01-26 21:30:00"
931.85,"2018-01-26 21:45:00"
809.85,"2018-01-26 22:00:00"
801.00,"2018-01-26 22:15:00"
749.75,"2018-01-26 22:30:00"
630.00,"2018-01-26 22:45:00"
499.00,"2018-01-26 23:00:00"
467.50,"2018-01-26 23:15:00"
431.50,"2018-01-26 23:30:00"
332.50,"2018-01-26 23:45:00"
237.50,"2018-01-27 00:00:00"
205.50,"2018-01-27 00:15:00"
155.75,"2018-01-27 00:30:00"
121.25,"2018-01-27 00:45:00"
93.75,"2018-01-27 01:00:00"
101.25,"2018-01-27 01:15:00"
74.00,"2018-01-27 01:30:00"
67.75,"2018-01-27 01:45:00"
51.00,"2018-01-27 02:00:00"
38.50,"2018-01-27 02:15:00"
47.75,"2018-01-27 02:30:00"
43.75,"2018-01-27 02:45:00"
50.75,"2018-01-27 03:00:00"
40.75,"2018-01-27 03:15:00"
52.50,"2018-01-27 03:30:00"
90.75,"2018-01-27 03:45:00"
190.25,"2018-01-27 04:00:00"
377.00,"2018-01-27 04:15:00"
500.75,"2018-01-27 04:30:00"
661.00,"2018-01-27 04:45:00"
865.40,"2018-01-27 05:00:00"
1289.80,"2018-01-27 05:15:00"
1366.75,"2018-01-27 05:30:00"
1589.25,"2018-01-27 05:45:00"
1707.25,"2018-01-27 06:00:00"
2017.00,"2018-01-27 06:15:00"
2131.80,"2018-01-27 06:30:00"
2237.55,"2018-01-27 06:45:00"
2127.60,"2018-01-27 07:00:00"
2231.80,"2018-01-27 07:15:00"
2247.60,"2018-01-27 07:30:00"
2152.85,"2018-01-27 07:45:00"
1805.70,"2018-01-27 08:00:00"
1670.25,"2018-01-27 08:15:00"
1353.80,"2018-01-27 08:30:00"
1439.20,"2018-01-27 08:45:00"
1353.00,"2018-01-27 09:00:00"
1406.95,"2018-01-27 09:15:00"
1446.25,"2018-01-27 09:30:00"
1435.50,"2018-01-27 09:45:00"
1395.15,"2018-01-27 10:00:00"
1416.25,"2018-01-27 10:15:00"
1482.00,"2018-01-27 10:30:00"
1418.30,"2018-01-27 10:45:00"
1002.70,"2018-01-27 11:00:00"
360.75,"2018-01-27 11:15:00"
0.25,"2018-01-27 11:30:00"
